#Day	Devices
2017-05-27 00:00:00	2
2017-05-28 00:00:00	2
2017-05-29 00:00:00	2
2017-05-30 00:00:00	3
2017-05-31 00:00:00	3
2017-06-01 00:00:00	2
2017-06-02 00:00:00	2
2017-06-03 00:00:00	3
2017-06-04 00:00:00	4
2017-06-05 00:00:00	4
2017-06-06 00:00:00	4
2017-06-07 00:00:00	4
2017-06-08 00:00:00	4
2017-06-09 00:00:00	4
2017-06-10 00:00:00	4
2017-06-11 00:00:00	5
2017-06-13 00:00:00	5
2017-06-14 00:00:00	5
2017-06-15 00:00:00	5
2017-06-16 00:00:00	5
2017-06-17 00:00:00	5
2017-06-18 00:00:00	5
2017-06-19 00:00:00	5
2017-06-20 00:00:00	5
2017-06-21 00:00:00	5
2017-06-22 00:00:00	5
2017-06-23 00:00:00	5
2017-06-25 00:00:00	5
2017-06-27 00:00:00	5
2017-06-28 00:00:00	6
2017-06-29 00:00:00	7
2017-06-30 00:00:00	9
2017-07-03 00:00:00	9
2017-07-04 00:00:00	9
2017-07-05 00:00:00	9
2017-07-06 00:00:00	9
2017-07-08 00:00:00	9
2017-07-09 00:00:00	9
2017-07-10 00:00:00	9
2017-07-11 00:00:00	9
2017-07-12 00:00:00	9
2017-07-13 00:00:00	9
2017-07-14 00:00:00	9
2017-07-15 00:00:00	9
2017-07-16 00:00:00	9
2017-07-17 00:00:00	9
2017-07-18 00:00:00	9
2017-07-19 00:00:00	9
2017-07-20 00:00:00	9
2017-07-21 00:00:00	11
2017-07-22 00:00:00	11
2017-07-23 00:00:00	11
2017-07-22 00:00:00	11
2017-07-23 00:00:00	11
2017-07-24 00:00:00	11
2017-07-25 00:00:00	11
2017-07-26 00:00:00	13
2017-07-27 00:00:00	13
2017-07-28 00:00:00	13
2017-07-29 00:00:00	14
2017-07-30 00:00:00	14
2017-07-31 00:00:00	14
2017-08-01 00:00:00	15
2017-08-02 00:00:00	15
2017-08-03 00:00:00	15
2017-08-04 00:00:00	15
2017-08-06 00:00:00	15
2017-08-07 00:00:00	15
2017-08-08 00:00:00	15
2017-08-09 00:00:00	15
2017-08-10 00:00:00	17
2017-08-11 00:00:00	18
2017-08-12 00:00:00	18
2017-08-14 00:00:00	18
2017-08-15 00:00:00	18
2017-08-16 00:00:00	18
2017-08-17 00:00:00	18
2017-08-18 00:00:00	18
2017-08-19 00:00:00	18
2017-08-20 00:00:00	18
2017-08-21 00:00:00	18
2017-08-23 00:00:00	18
2017-08-24 00:00:00	18
2017-08-25 00:00:00	20
2017-08-26 00:00:00	20
2017-08-27 00:00:00	20
2017-08-28 00:00:00	20
2017-08-30 00:00:00	20
2017-08-31 00:00:00	20
2017-09-01 00:00:00	20
2017-09-02 00:00:00	21
2017-09-03 00:00:00	22
2017-09-04 00:00:00	22
2017-09-06 00:00:00	24
2017-09-07 00:00:00	24
2017-09-08 00:00:00	24
2017-09-09 00:00:00	24
2017-09-10 00:00:00	24
2017-09-11 00:00:00	24
2017-09-12 00:00:00	24
2017-09-13 00:00:00	24
2017-09-14 00:00:00	24
2017-09-15 00:00:00	24
2017-09-16 00:00:00	24
2017-09-18 00:00:00	24
2017-09-19 00:00:00	25
2017-09-20 00:00:00	25
